City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hawaiian paradise park,19.5933,-154.9731,28.73,72,20,5.14,US,1686703145
1,puerto natales,-51.7236,-72.4875,2.24,86,100,1.18,CL,1686703145
2,grytviken,-54.2811,-36.5092,-5.59,82,20,4.53,GS,1686703145
3,cavalaire-sur-mer,43.174,6.5272,18.9,95,100,2.34,FR,1686703145
4,tolanaro,-25.0319,46.9987,17.04,94,20,2.06,MG,1686703145
5,puerto carreno,6.189,-67.4859,25.59,87,100,1.82,CO,1686703145
6,dryden,49.7833,-92.7503,21.16,56,100,2.57,CA,1686703145
7,quellon,-43.1167,-73.6167,6.38,91,100,3.69,CL,1686703145
8,goulburn,-34.75,149.7167,7.66,80,100,2.68,AU,1686702857
9,ad dilam,23.9915,47.1627,33.23,18,50,4.68,SA,1686703146
10,ormara,25.2088,64.6357,29.04,81,100,7.86,PK,1686703146
11,tralee,52.2704,-9.7026,15.06,95,1,0.8,IE,1686703146
12,yima,34.7381,111.8839,26.82,37,0,1.83,CN,1686703146
13,lebu,-37.6167,-73.65,9.05,77,94,5.24,CL,1686703146
14,carnarvon,-24.8667,113.6333,16.33,36,0,7.54,AU,1686703146
15,utrik,11.2278,169.8474,27.86,83,81,8.75,MH,1686703146
16,al kharijah,25.4514,30.5464,28.79,37,0,7.03,EG,1686703146
17,port elizabeth,-33.918,25.5701,19.06,47,0,5.81,ZA,1686703146
18,blackmans bay,-43.0167,147.3167,9.29,88,97,1.25,AU,1686703146
19,port-aux-francais,-49.35,70.2167,5.84,93,100,5.74,TF,1686703147
20,cestos city,5.46,-9.5828,25.51,74,99,2.66,LR,1686703147
21,porto novo,6.4965,2.6036,26.9,79,96,2.72,BJ,1686703147
22,kingston,17.997,-76.7936,30.53,70,20,9.77,JM,1686703057
23,vadso,70.0744,29.7487,6.49,75,100,4.63,NO,1686703147
24,hinton,53.4001,-117.5857,12.69,96,100,4.21,CA,1686703049
25,luderitz,-26.6481,15.1594,12.33,72,0,4.13,NA,1686703147
26,invercargill,-46.4,168.35,9.64,71,98,2.13,NZ,1686703147
27,puerto ayora,-0.7393,-90.3518,26.42,90,100,5.36,EC,1686703147
28,adamstown,-25.066,-130.1015,20.66,68,24,0.6,PN,1686703147
29,palikir - national government center,6.9248,158.1611,28.23,78,82,9.15,FM,1686703148
30,alice springs,-23.7,133.8833,12.9,40,0,3.09,AU,1686703148
31,korla,41.7597,86.1469,30.58,20,31,6.45,CN,1686703149
32,fort bragg,35.139,-79.006,27.08,51,75,1.54,US,1686703149
33,swift current,50.2834,-107.8014,28.45,24,0,6.17,CA,1686703149
34,uturoa,-16.7333,-151.4333,27.41,81,16,9.1,PF,1686703149
35,camarinas,43.1311,-9.1817,16.07,92,100,1.15,ES,1686703149
36,palmer,42.1584,-72.3287,22.23,64,40,3.09,US,1686703149
37,port mathurin,-19.6833,63.4167,24.74,80,3,11.2,MU,1686703150
38,ushuaia,-54.8,-68.3,4.81,65,75,1.54,AR,1686703150
39,chonchi,-42.6128,-73.8092,6.18,92,100,0.84,CL,1686703150
40,georgetown,5.4112,100.3354,28.96,85,40,3.6,MY,1686702850
41,bikenibeu village,1.3673,173.1241,30.98,79,40,4.12,KI,1686703150
42,tura,25.5198,90.2201,25.08,94,87,3.23,IN,1686703150
43,bardstown,37.8092,-85.4669,25.77,43,0,4.12,US,1686703150
44,praia da vitoria,38.7333,-27.0667,20.14,83,20,4.44,PT,1686703150
45,fort st. john,56.2499,-120.8529,10.94,87,100,6.17,CA,1686703150
46,ifrane,33.3333,-5.25,12.26,77,66,0.46,MA,1686703150
47,murzuq,25.9155,13.9184,28.52,19,0,5.86,LY,1686703150
48,grand falls-windsor,48.9332,-55.6649,8.61,74,0,0.97,CA,1686703151
49,dhuusamarreeb,5.535,46.3861,24.46,75,100,7.62,SO,1686703151
50,szydlowiec,51.2282,20.8611,13.07,98,100,2.45,PL,1686703151
51,plettenberg bay,-34.0527,23.3716,14.76,63,100,4.83,ZA,1686703151
52,oranjemund,-28.55,16.4333,12.19,83,28,0.49,NA,1686703151
53,nemuro,43.3236,145.575,13.09,97,100,3.89,JP,1686703151
54,tiksi,71.6872,128.8694,2.04,82,14,3.22,RU,1686703151
55,barcelos,41.5388,-8.6151,18.8,97,20,1.16,PT,1686703151
56,mgandu,-5.95,34.1333,16.99,64,63,2.33,TZ,1686703151
57,edinburgh of the seven seas,-37.0676,-12.3116,15.61,85,89,13.08,SH,1686703151
58,hermanus,-34.4187,19.2345,15.44,86,100,16.53,ZA,1686703151
59,shiguai,40.7058,110.2856,24.42,19,0,3.07,CN,1686703152
60,san patricio,28.017,-97.5169,31.2,79,13,7.35,US,1686703152
61,brokopondo,4.75,-55.1667,25.57,84,100,3.02,SR,1686703152
62,vieux-habitants,16.0589,-61.7659,26.76,81,95,6.39,GP,1686703152
63,al mutayrifi,25.4788,49.5576,33.19,21,34,7.25,SA,1686703152
64,harstad,68.799,16.5293,7.86,94,24,8.94,NO,1686703152
65,acapulco de juarez,16.8634,-99.8901,31.9,66,40,3.6,MX,1686703083
66,bredasdorp,-34.5322,20.0403,15.55,73,100,14.08,ZA,1686703152
67,punta arenas,-53.15,-70.9167,2.84,86,100,4.38,CL,1686703007
68,nizhniy kuranakh,58.8353,125.4869,12.13,56,44,4.8,RU,1686703152
69,frolovo,49.7713,43.6622,16.33,73,97,6.04,RU,1686703153
70,kirensk,57.7853,108.1119,16.22,50,100,3.76,RU,1686703153
71,pacific grove,36.6177,-121.9166,20.13,78,75,4.12,US,1686703153
72,hasaki,35.7333,140.8333,26.27,87,100,7.94,JP,1686703153
73,sechura,-5.5569,-80.8222,23.28,69,2,7.91,PE,1686703153
74,grande prairie,55.1667,-118.8027,13.1,88,100,4.12,CA,1686703042
75,papatowai,-46.5619,169.4708,11.06,64,100,0.66,NZ,1686703153
76,onega,63.9061,38.1404,8.67,92,61,0.98,RU,1686703153
77,bethel,41.3712,-73.414,21.38,79,0,2.06,US,1686702936
78,cowra,-33.8333,148.6833,9.81,76,98,5.43,AU,1686703154
79,crane,31.3974,-102.3501,35.59,8,0,6.7,US,1686703154
80,hilo,19.7297,-155.09,28.85,70,20,5.14,US,1686703154
81,abilene,32.4487,-99.7331,28.76,66,40,2.06,US,1686703154
82,kattivakkam,13.2167,80.3167,30.04,75,57,2.94,IN,1686703154
83,santana,-0.0583,-51.1817,29.1,79,20,6.17,BR,1686703154
84,redding,40.5865,-122.3917,31.06,45,0,5.66,US,1686703115
85,phongsali,21.6833,102.1058,18.21,98,100,0.36,LA,1686703154
86,port alfred,-33.5906,26.891,18.43,50,23,4.02,ZA,1686703085
87,waitangi,-43.9535,-176.5597,10.46,94,100,4.92,NZ,1686703154
88,mawu,29.5923,107.3139,22.27,84,100,1.63,CN,1686703154
89,vel'sk,61.0701,42.0983,10.53,75,7,2.31,RU,1686703155
90,albany,42.6001,-73.9662,19.1,76,100,1.27,US,1686703055
91,lihue,21.9789,-159.3672,26.58,78,75,6.69,US,1686703155
92,thal,35.4791,72.2439,16.33,70,11,1.58,PK,1686703155
93,touros,-5.1989,-35.4608,24.26,84,29,4.89,BR,1686703155
94,naze,28.3667,129.4833,25.51,86,100,3.23,JP,1686703155
95,lefka,35.1106,32.8506,20.69,72,0,3.08,CY,1686703155
96,port lincoln,-34.7333,135.8667,15.63,74,28,7.85,AU,1686703155
97,kearneys spring,-27.6014,151.9403,15.68,55,0,1.79,AU,1686703155
98,west island,-12.1568,96.8225,26.99,78,75,9.79,CC,1686703155
99,pathein,16.7833,94.7333,26.43,85,100,3.76,MM,1686703155
100,la sarre,48.8002,-79.1996,12.49,97,100,2.21,CA,1686703154
101,geraldton,-28.7667,114.6,10.23,87,75,6.69,AU,1686703156
